X1	Y1	NormalY1	X2	InterpolY2
104.587	2.52196	78.81125	248	65.07927
104.637	2.52186	78.80813	249	64.87656
104.676	2.52192	78.81	250	64.6984
104.719	2.52202	78.81312	251	64.51257
104.764	2.52206	78.81437	252	64.32661
104.809	2.52205	78.81406	253	64.10186
104.851	2.52202	78.81312	254	63.90944
104.893	2.52208	78.815	255	63.70524
104.938	2.52183	78.80719	256	63.46144
104.982	2.52153	78.79781	257	63.24009
105.026	2.52153	78.79781	258	62.99779
105.069	2.52154	78.79812	259	62.75612
105.112	2.52126	78.78937	260	62.45288
105.152	2.52096	78.78	261	62.17781
105.192	2.52099	78.78094	262	61.86196
105.237	2.52105	78.78281	263	61.51671
105.276	2.52104	78.7825	264	61.12578
105.318	2.52109	78.78406	265	60.67219
105.365	2.52117	78.78656	266	60.11684
105.411	2.52107	78.78344	267	59.15812
105.447	2.52098	78.78062	268	58.07714
105.48	2.52109	78.78406	269	56.63933
105.518	2.52119	78.78719	270	54.5665
105.565	2.52077	78.77406	271	52.25717
105.602	2.52042	78.76313	272	49.87826
105.643	2.52038	78.76187	273	46.63854
105.681	2.52039	78.76219	274	42.1928
105.718	2.52054	78.76687	275	35.71569
105.755	2.52054	78.76687	276	27.14693
105.794	2.52014	78.75437	277	18.46475
105.836	2.51979	78.74344	278	14.44181
105.879	2.5197	78.74063	279	12.86267
105.918	2.51959	78.73719	280	12.04579
105.946	2.51953	78.73531	281	11.56169
105.98	2.51962	78.73812	282	11.19721
106.016	2.51974	78.74188	283	10.88354
106.057	2.51976	78.7425	284	10.61097
106.102	2.51976	78.7425	285	10.36866
106.145	2.51977	78.74281	286	10.13289
106.178	2.51979	78.74344	287	9.92884
106.21	2.51977	78.74281	288	9.73646
106.256	2.51968	78.74	289	9.55419
106.287	2.5193	78.72812	290	9.39916
106.318	2.51902	78.71938	291	9.23687
106.352	2.51904	78.72	292	9.08393
106.391	2.51898	78.71813	293	8.94296
106.43	2.51887	78.71469	294	8.80782
106.458	2.51845	78.70156	295	8.68688
106.486	2.51809	78.69031	296	8.57468
106.527	2.51813	78.69156	297	8.43185
106.566	2.51816	78.6925	298	8.30897
106.603	2.51804	78.68875		
106.639	2.51803	78.68844		
106.677	2.51813	78.69156		
106.711	2.51819	78.69344		
106.735	2.51826	78.69563		
106.765	2.51822	78.69437		
106.809	2.51811	78.69094		
106.855	2.51808	78.69		
106.881	2.51803	78.68844		
106.91	2.51807	78.68969		
106.944	2.5182	78.69375		
106.978	2.51828	78.69625		
107.012	2.51825	78.69531		
107.047	2.51797	78.68656		
107.082	2.51779	78.68094		
107.117	2.51768	78.6775		
107.158	2.5176	78.675		
107.19	2.51769	78.67781		
107.221	2.51774	78.67937		
107.253	2.51745	78.67031		
107.274	2.51715	78.66094		
107.309	2.51714	78.66062		
107.35	2.51713	78.66031		
107.389	2.51699	78.65594		
107.421	2.51675	78.64844		
107.455	2.51666	78.64562		
107.486	2.51661	78.64406		
107.519	2.51659	78.64344		
107.562	2.51661	78.64406		
107.591	2.51662	78.64437		
107.62	2.51661	78.64406		
107.654	2.51661	78.64406		
107.697	2.51671	78.64719		
107.726	2.51646	78.63938		
107.756	2.51615	78.62969		
107.791	2.51619	78.63094		
107.826	2.51624	78.6325		
107.849	2.51622	78.63188		
107.885	2.5162	78.63125		
107.917	2.5159	78.62188		
107.945	2.51559	78.61219		
107.976	2.51567	78.61469		
108.013	2.51573	78.61656		
108.044	2.51572	78.61625		
108.073	2.51569	78.61531		
108.113	2.51564	78.61375		
108.143	2.51554	78.61062		
108.171	2.51552	78.61		
108.207	2.51562	78.61313		
108.252	2.51561	78.61281		
108.28	2.51568	78.615		
108.312	2.5157	78.61562		
108.345	2.51572	78.61625		
108.378	2.51581	78.61906		
108.411	2.51551	78.60969		
108.442	2.51525	78.60156		
108.47	2.51532	78.60375		
108.499	2.51527	78.60219		
108.537	2.51494	78.59188		
108.571	2.51468	78.58375		
108.609	2.51469	78.58406		
108.646	2.51474	78.58562		
108.672	2.5148	78.5875		
108.703	2.51462	78.58187		
108.73	2.5141	78.56562		
108.76	2.51374	78.55437		
108.798	2.51387	78.55844		
108.839	2.51411	78.56594		
108.871	2.51413	78.56656		
108.898	2.51414	78.56688		
108.926	2.51426	78.57063		
108.948	2.51426	78.57063		
108.987	2.51423	78.56969		
109.014	2.51397	78.56156		
109.04	2.51371	78.55344		
109.089	2.51381	78.55656		
109.119	2.51382	78.55688		
109.145	2.51379	78.55594		
109.174	2.51378	78.55563		
109.215	2.5138	78.55625		
109.244	2.51386	78.55813		
109.275	2.51388	78.55875		
109.311	2.51376	78.555		
109.347	2.51363	78.55094		
109.373	2.5135	78.54688		
109.406	2.51331	78.54094		
109.433	2.51331	78.54094		
109.457	2.51337	78.54281		
109.495	2.51306	78.53312		
109.532	2.51275	78.52344		
109.569	2.51272	78.5225		
109.604	2.51281	78.52531		
109.629	2.5129	78.52813		
109.661	2.51288	78.5275		
109.694	2.51284	78.52625		
109.73	2.51287	78.52719		
109.765	2.51288	78.5275		
109.796	2.51294	78.52938		
109.825	2.51302	78.53187		
109.854	2.51258	78.51812		
109.885	2.5122	78.50625		
109.915	2.51224	78.5075		
109.957	2.51232	78.51		
109.992	2.51242	78.51313		
110.021	2.51245	78.51406		
110.05	2.51215	78.50469		
110.082	2.51184	78.495		
110.116	2.51183	78.49469		
110.152	2.51174	78.49188		
110.189	2.51173	78.49156		
110.206	2.51176	78.4925		
110.237	2.51145	78.48281		
110.272	2.51128	78.4775		
110.308	2.51137	78.48031		
110.337	2.51132	78.47875		
110.369	2.51124	78.47625		
110.404	2.51125	78.47656		
110.439	2.51134	78.47938		
110.477	2.51135	78.47969		
110.505	2.51132	78.47875		
110.537	2.51129	78.47781		
110.573	2.51125	78.47656		
110.604	2.51129	78.47781		
110.634	2.51101	78.46906		
110.672	2.51072	78.46		
110.709	2.51076	78.46125		
110.739	2.51077	78.46156		
110.765	2.51076	78.46125		
110.794	2.51046	78.45188		
110.827	2.51018	78.44313		
110.859	2.51013	78.44156		
110.897	2.51015	78.44219		
110.924	2.51015	78.44219		
110.952	2.51019	78.44344		
110.984	2.51027	78.44594		
111.023	2.51025	78.44531		
111.056	2.51022	78.44437		
111.087	2.51017	78.44281		
111.119	2.51028	78.44625		
111.151	2.5103	78.44688		
111.186	2.51018	78.44313		
111.219	2.51022	78.44437		
111.249	2.5102	78.44375		
111.283	2.51024	78.445		
111.32	2.5103	78.44688		
111.347	2.51027	78.44594		
111.374	2.50999	78.43719		
111.409	2.50962	78.42562		
111.448	2.50961	78.42531		
111.483	2.50968	78.4275		
111.515	2.50935	78.41719		
111.548	2.50905	78.40781		
111.577	2.50911	78.40969		
111.612	2.50909	78.40906		
111.648	2.50904	78.4075		
111.684	2.50905	78.40781		
111.719	2.50907	78.40844		
111.752	2.50885	78.40156		
111.783	2.50847	78.38969		
111.815	2.50827	78.38344		
111.854	2.50825	78.38281		
111.885	2.50827	78.38344		
111.921	2.50827	78.38344		
111.956	2.50828	78.38375		
111.985	2.50818	78.38062		
112.015	2.50812	78.37875		
112.054	2.5081	78.37812		
112.089	2.50804	78.37625		
112.118	2.5081	78.37812		
112.157	2.50815	78.37969		
112.188	2.50822	78.38188		
112.218	2.50838	78.38687		
112.25	2.50842	78.38813		
112.286	2.50831	78.38469		
112.328	2.50823	78.38219		
112.368	2.50822	78.38188		
112.397	2.50808	78.3775		
112.422	2.50792	78.3725		
112.459	2.50804	78.37625		
112.493	2.50807	78.37719		
112.528	2.50766	78.36437		
112.562	2.50731	78.35344		
112.579	2.50733	78.35406		
112.619	2.50742	78.35687		
112.657	2.50742	78.35687		
112.687	2.50737	78.35531		
112.715	2.50736	78.355		
112.754	2.50706	78.34562		
112.792	2.50671	78.33469		
112.825	2.50666	78.33313		
112.852	2.50662	78.33187		
112.887	2.50662	78.33187		
112.925	2.50656	78.33		
112.961	2.50659	78.33094		
112.992	2.50666	78.33313		
113.026	2.50657	78.33031		
113.058	2.5066	78.33125		
113.092	2.50646	78.32688		
113.127	2.50603	78.31344		
113.161	2.50583	78.30719		
113.193	2.50604	78.31375		
113.222	2.50622	78.31937		
113.252	2.50594	78.31063		
113.294	2.50559	78.29969		
113.327	2.5056	78.3		
113.36	2.50565	78.30156		
113.392	2.50562	78.30062		
113.42	2.50564	78.30125		
113.458	2.50571	78.30344		
113.492	2.50577	78.30531		
113.521	2.50589	78.30906		
113.554	2.50595	78.31094		
113.595	2.5059	78.30938		
113.63	2.50595	78.31094		
113.663	2.50599	78.31219		
113.695	2.50601	78.31281		
113.729	2.50566	78.30187		
113.756	2.50537	78.29281		
113.789	2.50548	78.29625		
113.827	2.50557	78.29906		
113.864	2.50537	78.29281		
113.898	2.50492	78.27875		
113.929	2.50481	78.27531		
113.96	2.50485	78.27656		
113.996	2.50483	78.27594		
114.021	2.50489	78.27781		
114.059	2.50485	78.27656		
114.095	2.50486	78.27687		
114.12	2.50486	78.27687		
114.145	2.50494	78.27938		
114.183	2.50497	78.28031		
114.223	2.5048	78.275		
114.261	2.50448	78.265		
114.295	2.50429	78.25906		
114.32	2.50436	78.26125		
114.353	2.50444	78.26375		
114.389	2.50422	78.25688		
114.416	2.50392	78.2475		
114.449	2.50398	78.24938		
114.487	2.50404	78.25125		
114.524	2.50396	78.24875		
114.554	2.50394	78.24813		
114.585	2.50398	78.24938		
114.615	2.50397	78.24906		
114.648	2.50403	78.25094		
114.683	2.50408	78.2525		
114.725	2.50404	78.25125		
114.746	2.50375	78.24219		
114.778	2.50346	78.23313		
114.821	2.50336	78.23		
114.856	2.50335	78.22969		
114.883	2.50346	78.23313		
114.918	2.50348	78.23375		
114.955	2.50308	78.22125		
114.989	2.5027	78.20937		
115.014	2.50276	78.21125		
115.042	2.5028	78.2125		
115.08	2.50276	78.21125		
115.124	2.50269	78.20906		
115.156	2.50264	78.2075		
115.186	2.5027	78.20937		
115.217	2.50279	78.21219		
115.247	2.50246	78.20188		
115.275	2.50216	78.1925		
115.321	2.50214	78.19187		
115.355	2.50203	78.18844		
115.38	2.50185	78.18281		
115.412	2.50166	78.17688		
115.45	2.50163	78.17594		
115.489	2.50172	78.17875		
115.524	2.50185	78.18281		
115.554	2.50188	78.18375		
115.586	2.50182	78.18187		
115.622	2.50182	78.18187		
115.656	2.50189	78.18406		
115.681	2.50191	78.18469		
115.717	2.50177	78.18031		
115.755	2.50151	78.17219		
115.789	2.50136	78.1675		
115.82	2.50133	78.16656		
115.862	2.50137	78.16781		
115.889	2.50143	78.16969		
115.919	2.50115	78.16094		
115.952	2.50082	78.15063		
115.987	2.50086	78.15187		
116.023	2.50092	78.15375		
116.057	2.50092	78.15375		
116.09	2.50093	78.15406		
116.12	2.50092	78.15375		
116.151	2.50098	78.15563		
116.184	2.50109	78.15906		
116.222	2.50103	78.15719		
116.262	2.50091	78.15344		
116.301	2.50074	78.14812		
116.333	2.50044	78.13875		
116.364	2.50031	78.13469		
116.396	2.50033	78.13531		
116.436	2.50036	78.13625		
116.465	2.50045	78.13906		
116.494	2.50032	78.135		
116.524	2.50007	78.12719		
116.548	2.50005	78.12656		
116.583	2.50014	78.12937		
116.622	2.49989	78.12156		
116.66	2.49954	78.11062		
116.688	2.49959	78.11219		
116.732	2.49952	78.11		
116.762	2.49936	78.105		
116.792	2.49932	78.10375		
116.833	2.49932	78.10375		
116.865	2.49932	78.10375		
116.897	2.49936	78.105		
116.923	2.49929	78.10281		
116.946	2.4992	78.1		
116.986	2.49916	78.09875		
117.022	2.49917	78.09906		
117.056	2.4992	78.1		
117.089	2.49927	78.10219		
117.121	2.49939	78.10594		
117.152	2.49925	78.10156		
117.19	2.49895	78.09219		
117.228	2.49873	78.08531		
117.258	2.49869	78.08406		
117.292	2.49857	78.08031		
117.324	2.49855	78.07969		
117.359	2.49862	78.08187		
117.397	2.49854	78.07938		
117.425	2.49863	78.08219		
117.463	2.49841	78.07531		
117.497	2.49803	78.06344		
117.527	2.49786	78.05813		
117.56	2.49779	78.05594		
117.595	2.49793	78.06031		
117.628	2.49801	78.06281		
117.66	2.49811	78.06594		
117.699	2.49778	78.05563		
117.727	2.49747	78.04594		
117.754	2.49759	78.04969		
117.785	2.49757	78.04906		
117.82	2.49753	78.04781		
117.851	2.4976	78.05		
117.889	2.49761	78.05031		
117.925	2.49767	78.05219		
117.96	2.49765	78.05156		
118.003	2.49737	78.04281		
118.019	2.49723	78.03844		
118.049	2.49723	78.03844		
118.089	2.49725	78.03906		
118.114	2.49735	78.04219		
118.148	2.49747	78.04594		
118.181	2.49753	78.04781		
118.214	2.49748	78.04625		
118.248	2.49711	78.03469		
118.29	2.49667	78.02094		
118.322	2.49669	78.02156		
118.352	2.49681	78.02531		
118.38	2.49676	78.02375		
118.413	2.49671	78.02219		
118.453	2.49623	78.00719		
118.484	2.49558	77.98687		
118.508	2.4956	77.9875		
118.545	2.49583	77.99469		
118.588	2.4959	77.99687		
118.624	2.49594	77.99813		
118.653	2.49589	77.99656		
118.686	2.49581	77.99406		
118.719	2.4958	77.99375		
118.743	2.49571	77.99094		
118.77	2.49583	77.99469		
118.811	2.49581	77.99406		
118.842	2.49588	77.99625		
118.879	2.49588	77.99625		
118.919	2.4955	77.98438		
118.954	2.49547	77.98344		
118.983	2.49552	77.985		
119.024	2.49547	77.98344		
119.059	2.49541	77.98156		
119.087	2.49531	77.97844		
119.124	2.49505	77.97031		
119.144	2.49499	77.96844		
119.178	2.49509	77.97156		
119.218	2.4951	77.97187		
119.245	2.49502	77.96938		
119.273	2.49502	77.96938		
119.311	2.49511	77.97219		
119.351	2.49516	77.97375		
119.376	2.49514	77.97313		
119.419	2.49478	77.96188		
119.45	2.49445	77.95156		
119.481	2.49445	77.95156		
119.515	2.49445	77.95156		
119.544	2.49415	77.94219		
119.575	2.49387	77.93344		
119.609	2.49392	77.935		
119.644	2.49397	77.93656		
119.678	2.49396	77.93625		
119.717	2.49409	77.94031		
119.751	2.49416	77.9425		
119.781	2.49411	77.94094		
119.816	2.49404	77.93875		
119.848	2.49401	77.93781		
119.882	2.4939	77.93438		
119.916	2.49386	77.93313		
119.95	2.49395	77.93594		
119.984	2.49403	77.93844		
120.023	2.49409	77.94031		
120.055	2.49376	77.93		
120.082	2.49346	77.92062		
120.133	2.49347	77.92094		
120.159	2.49349	77.92156		
120.189	2.49297	77.90531		
120.224	2.49274	77.89812		
120.259	2.49303	77.90719		
120.289	2.49307	77.90844		
120.325	2.49314	77.91062		
120.361	2.49311	77.90969		
120.392	2.493	77.90625		
120.427	2.49298	77.90563		
120.458	2.49301	77.90656		
120.483	2.49304	77.9075		
120.51	2.49311	77.90969		
120.564	2.49273	77.89781		
120.596	2.4924	77.8875		
120.629	2.49248	77.89		
120.661	2.49244	77.88875		
120.692	2.49235	77.88594		
120.724	2.49205	77.87656		
120.76	2.49182	77.86938		
120.799	2.49192	77.8725		
120.844	2.49196	77.87375		
120.868	2.49208	77.8775		
120.89	2.49195	77.87344		
120.926	2.4915	77.85938		
120.976	2.49134	77.85438		
120.998	2.49133	77.85406		
121.026	2.49136	77.855		
121.059	2.49146	77.85813		
121.096	2.49153	77.86031		
121.134	2.49151	77.85969		
121.175	2.49158	77.86187		
121.205	2.49164	77.86375		
121.229	2.49154	77.86062		
121.257	2.49158	77.86187		
121.294	2.49168	77.865		
121.329	2.49173	77.86656		
121.363	2.49141	77.85656		
121.398	2.49111	77.84719		
121.429	2.49112	77.8475		
121.459	2.49111	77.84719		
121.493	2.49107	77.84594		
121.534	2.49072	77.835		
121.566	2.4904	77.825		
121.598	2.49036	77.82375		
121.627	2.49038	77.82438		
121.655	2.49044	77.82625		
121.688	2.49046	77.82688		
121.725	2.49049	77.82781		
121.76	2.49056	77.83		
121.79	2.49062	77.83187		
121.821	2.49068	77.83375		
121.858	2.49037	77.82406		
121.896	2.49007	77.81469		
121.932	2.49012	77.81625		
121.957	2.49018	77.81812		
121.988	2.49013	77.81656		
122.022	2.48979	77.80594		
122.06	2.48956	77.79875		
122.093	2.48946	77.79563		
122.122	2.48948	77.79625		
122.161	2.48961	77.80031		
122.197	2.48959	77.79969		
122.225	2.4896	77.8		
122.257	2.48943	77.79469		
122.29	2.48913	77.78531		
